frame,lat,lon,ele
0,43.36503094076923,-71.46050277384616,118.455
1,43.365031476153845,-71.46049748076923,118.48
2,43.36503201153846,-71.46049218769231,118.505
3,43.365032546923075,-71.46048689461539,118.53
4,43.36503308230769,-71.46048160153846,118.555
5,43.36503361769231,-71.46047630846154,118.58
6,43.36503415307693,-71.46047101538461,118.605
7,43.36503468846154,-71.4604657223077,118.63000000000001
8,43.36503522384616,-71.46046042923078,118.655
9,43.36503575923077,-71.46045513615385,118.68
10,43.365036294615386,-71.46044984307693,118.705
11,43.36503683,-71.46044455,118.73
12,43.36504147875,-71.46042933000001,118.805
13,43.3650461275,-71.46041411,118.88
14,43.36505077625,-71.46039889000001,118.955
15,43.365055425,-71.46038367,119.03
16,43.36506007375,-71.46036845,119.105
17,43.3650647225,-71.46035323000001,119.18
18,43.36506937125,-71.46033801,119.255
19,43.36507402,-71.46032279,119.33
20,43.365079325,-71.46030746625,119.24
21,43.36508463,-71.46029214250001,119.15
22,43.365089935,-71.46027681875,119.06
23,43.36509524,-71.460261495,118.97
24,43.365100545000004,-71.46024617125,118.88
25,43.365105850000006,-71.4602308475,118.78999999999999
26,43.365111155,-71.46021552375001,118.7
27,43.36511646,-71.4602002,118.61
28,43.365120431250006,-71.4601849675,118.57375
29,43.3651244025,-71.460169735,118.5375
30,43.365128373750004,-71.4601545025,118.50125
31,43.365132345000006,-71.46013927,118.465
32,43.36513631625,-71.4601240375,118.42875
33,43.365140287500004,-71.460108805,118.3925
34,43.36514425875,-71.4600935725,118.35624999999999
35,43.36514823,-71.46007834,118.32
36,43.365151780000005,-71.46006316625,118.29249999999999
37,43.36515533,-71.4600479925,118.26499999999999
38,43.36515888,-71.46003281875,118.2375
39,43.36516243,-71.460017645,118.21
40,43.36516598,-71.46000247125001,118.18249999999999
41,43.36516953,-71.4599872975,118.155
42,43.36517308,-71.45997212375,118.1275
43,43.36517663,-71.45995695,118.1
44,43.36518045625,-71.45994080125,118.1125
45,43.365184282499996,-71.4599246525,118.125
46,43.36518810875,-71.45990850375,118.1375
47,43.365191935,-71.459892355,118.15
48,43.36519576125,-71.45987620625,118.1625
49,43.3651995875,-71.4598600575,118.175
50,43.365203413749995,-71.45984390875,118.1875
51,43.36520724,-71.45982776,118.2
52,43.36521303625,-71.45981383499999,118.29125
53,43.3652188325,-71.45979991,118.38250000000001
54,43.36522462875,-71.459785985,118.47375000000001
55,43.365230425,-71.45977206,118.565
56,43.36523622125,-71.459758135,118.65625
57,43.3652420175,-71.45974421,118.7475
58,43.36524781375,-71.459730285,118.83875
59,43.36525361,-71.45971636,118.93
60,43.3652593675,-71.45970205875,118.94375000000001
61,43.365265125,-71.4596877575,118.95750000000001
62,43.3652708825,-71.45967345625,118.97125000000001
63,43.365276640000005,-71.459659155,118.98500000000001
64,43.3652823975,-71.45964485375,118.99875
65,43.365288155,-71.4596305525,119.0125
66,43.3652939125,-71.45961625125001,119.02625
67,43.36529967,-71.45960195,119.04
68,43.36530372875,-71.4595859875,118.96375
69,43.3653077875,-71.459570025,118.8875
70,43.36531184625,-71.4595540625,118.81125
71,43.365315905,-71.4595381,118.73500000000001
72,43.36531996375,-71.4595221375,118.65875000000001
73,43.3653240225,-71.459506175,118.58250000000001
74,43.36532808125,-71.4594902125,118.50625000000001
75,43.36533214,-71.45947425,118.43
76,43.365332612857145,-71.45945633285714,118.25285714285715
77,43.36533308571428,-71.45943841571429,118.07571428571428
78,43.36533355857143,-71.45942049857143,117.89857142857143
79,43.365334031428574,-71.45940258142856,117.72142857142858
80,43.36533450428572,-71.45938466428571,117.54428571428572
81,43.36533497714286,-71.45936674714285,117.36714285714285
82,43.36533545,-71.45934883,117.19
83,43.36533303,-71.45933183,117.11125
84,43.36533061,-71.45931483,117.0325
85,43.36532819,-71.45929783,116.95375
86,43.36532577,-71.45928083,116.875
87,43.365323350000004,-71.45926383,116.79625
88,43.36532093,-71.45924683,116.7175
